id,city,address
1,"ბათუმის განათლების, განვითარების და დასაქმების ცენტრი",თამარ მეფის გამზ. პირველი შესახვევი 4
2,სამედიცინო ასოციაცია თანა,სათნოების ქუჩის I ჩიხი 5
3,"საზოგადოება ""ბილიკი""",მშვიდობის გამზ. 12
7,Life Line,ერეკლე მეორის 15
10,ასოციაცია საქართველოს ეს-ო-ეს ბავშვთა სოფელი,"რუსთაველის 93, მე-3 სართული"
12,ახალი ნაბიჯები,"ვარკეთილი 3, 3მ/რ, 180-ე საჯარო სკოლა"
13,ბავშვი და გარემო,აბასთუმნის  4
14,დღის ცენტრი ლაზარე,სოფელი გლდანი. ხიდის 4
20,"ბავშვი, ოჯახი, საზოგადოება","ვაჟა-ფშაველას გამზ.76 ბ, მე-3 სართული, ბინა 39"
22,ია,"გლდანის მე-4მ/რ, კორპ.113, ბ 1ბ"
23,მზის შვილები,სააკაძის ქ 73
25,სარეაბილიტაციო და სოციალური ადაპტაციის ცენტრი აისი,ჩიქვანაიას 21
26,კამიელთა სამედიცინო ცენტრი,"თემქა 11მ/რ, მე-2 კვ, ანაპის 414 დივიზიის 11"
31,საქართველოს ყრუთა კავშირი,მაიაკოვსკის  6
33,სმენისა და მეტყველების დარღვევის მქონე ბავშვთა დახმარების ასოციაცია,"ვაჟა ფშაველას 73, მე-3 კვ, 1ბ კორპ, ბინა 14"
34,ინვალიდთა სოციალური დახმარების ფონდი ახალი სიცოცხლე,ჩოლოყაშვილის  37
35,საქართველოს საზოგადოებრივი ინტერესების დაცვის ასოციაცია,"ჩოლოყაშვილის ჩიხი3, 3"
38,"ქუთაისის განათლების, განვითარების და დასაქმების ცენტრი",ოთხი ძმის  13
39,პარტნიორობა ბავშვებისთვის,რუსთაველის 59 (თიანეთის პირველი საჯარო სკოლა)
40,სამოქალაქო ინიციატივების ახალგაზრდული ცენტრი მომავალი,შატბერაშვილის 32
44,ჩვენ ერთად ვართ,წეროვანის დევნილთა დასახლება
46,მომავლის სხივი,შევჩენკოს 5
50,ნერვული დაავადებებით დაავადებული ბავშვების მშობელთა ასოციაცია,"მე-6 მ/რ, ფალიაშვილის ქუჩის მიმდებარე ნაკვეთი 89"
51,"ქუთაისის განათლების, განვითარების და დასაქმების ცენტრი","ჭანტურიას72_x000D_
1ბაგა-ბაღი"
54,სიღნაღის მრავალშვილიან დედათა და უნარშეზღუდულ ბავშვთა დახმარების კომიტეტი,წნორი. რუსთაველის 43
55,კოალიცია სოციალური რეფორმებისათვის,წმ. გიორგის 56
57,საქველმოქმედო ფონდი საქართველოს კარიტასი,9 აპრილის  33ა
59,"განვითარებისა და სოციალური რეაბილიტაციის ცენტრი ""თაირისი""",ახალგაზრდობის გამზირი მე-3 შეს 4
61,ბენეფიციართა დღის ცენტრი ვალენტინი,ნიკეას მე-2შესახ. 4/49. ხახანაშვილის ქ14
62,"განვითარებისა და სოციალური რეაბილიტაციის ცენტრი ""თაირისი""",ნ.დუმბაძის ქუჩა 59-61
66,საბა+2011,ს.ეწერი
67,სარეაბილიტაციო ცენტრი ჩვენი სახლი,9 აპრილის  1შეს.2
68,ბავშვი და გარემო,ბარათაშვილის 53
69,"განვითარებისა და სოციალური რეაბილიტაციის ცენტრი ""თაირისი""",სოფ. ბორითი
70,ფონდი PANACEA,ხონელიძის 61
73,სათნოების გზა,ნაძალადევის რ-ნი ჯანელიძის ქ 25ა
77,ხელი ხელს,"ავჭალა, 1 სამხედრო დასახლება 45ა"
78,ხელი ხელს,"ავჭალა, 1 სამხედრო დასახლება 45, ბ2"
79,ხელი ხელს,"მუხიანის სამხედრო დასახლების მიმ-რე ტერ-ა, ავჭალა 1"
80,სიღნაღის რეგიონის სოციალურად უმწეოთა თერაპიის კავშირი,"ქედელის დასახლება, ნონეშვილის ქუჩა"
81,უზრუნველი სიბერე,სოფ. ბოდბისხევი
82,სახლი საზღვრების გარეშე,სოფ. ხურვალეთი
83,მოხუცებულთა და შეზღუდული შესაძლებლობების მქონე პირთა პანსიონატი ჩემი ოჯახი,გლდანის მე-2 მასივის ტერიტორია
84,ახალგაზრთა პედაგოგთა კავშირი,"სოფ. ანასეული, მეცნიერების 16"
85,საქველმოქმედო ფონდი ბარბარე-XXI ,გლდანი-ნაძალადევის რ-ნი. სოფ. გლდანი
86,სიკეთის სახლი,"სოფ.გლდანი, "
88,საქველმოქმედო კავშირი თემი,სოფ. გრემი
89,ბროწლიანის სათნოების სახლი,სოფ. საქობო
90,ბასილიადა,თ. უშაკოვის 1ა
91,თაობათა კერა,სოფელი ბოდბისხევი
93,უნიმედი აჭარა - ჩაქვის სამედიცინო ცენტრი,დაბა ჩაქვი. თამარ მეფის 40–ის მიმდებარედ
94,ბავშვთა ჯანმრთელობის ცენტრი ,"თელავი, ალადაშვილის 2"
96,შიდა ქართლის სარეაბილიტაციო ცენტრი,გორი. ჭავჭავაძის 24/ა
97,ავადმყოფთა მომსახურე სასულიერო პირთა ორდენი (კამილიელების) ფილიალი საქართველოში,"თემქა. მე–11 მკრ, მე–2 კვარტალი, ანაპის 414 დივიზიის  11"
98,"რეაბილიტაციისა და სოციალური ადაპტაციის ცენტრი ""აისი""",ჩიქვანაიას 21
99,ოქროს ველი,გურჯაანი. თამარ მეფის 5
100,აბილიტაციის და განვითარების ცენტრი, ს. ხიმშიაშვილი ( ყოფილი საბჭო) 24
101,ქვემო ქართლის სარეაბილიტაციო ცენტრი,მარნეული. გიორგაძის 
102,ნეირონი,გურამიშვილის შეს.7
103,კავშირი ნაბიმედი,დ.უზნაძის 49
107,სანიტასი,გორგასლის 159ბ
109,კავშირი-საქართველოს პორტიჯის ასოციაცია,ჭავჭავაძის გამზ. 32
110,ი. ბოკერიას სახელობის ნეიროგანვითარების ცენტრი,"დიდუბის რ-ნი, დიღმის მასივი, ლუბლიანას  2/6"
114,საქართველოს სამარიტელთა კავშირი,სოფ. კავშირი
116,ი. ბოკერიას სახელობის ნეიროგანვითარების ცენტრი,მ.გორკის 46
118,"ბავშვი, ოჯახი, საზოგადოება","მარნეულის მუნიციპალიტეტი,სოფ.ყიზილარჯო"
120,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 8
121,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 9
122,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 3
127,"ბათუმის განათლების, განვითარების და დასაქმების ცენტრი",26 მაისის  106
128,"საქველმოქმედო-ჰუმანიტარული ფონდი ""ბრეს"" საქართველო",ნაზი შამანაურის ქ 94
129,"საზოგადოება ""ბილიკი""",კახა მეტრეველის 23
131,"საზოგადოება ""ბილიკი""",პუშკინის ქ 24ა
132,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,იპ. ხვიჩიას 28
134,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,სოფელი ბაჯითი
135,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,სოფ. კვალითი
136,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,წერეთლის 8
137,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ლევან II დადიანის
138,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,სოხუმის (ქვ. მაზანდარა)
139,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,შენგელიას 24
140,დივაინ ჩაილდ ფოუნდეიშენ ოფ ჯორჯია,სოფ.წილკანი
141,დივაინ ჩაილდ ფოუნდეიშენ ოფ ჯორჯია,სოფ.გალავანი
142,"ფონდი საქველმოქმედო ჰუმანიტარიული ცენტრი""აფხაზეთი""",სოფ.კურდღელაური
143,"ფონდი საქველმოქმედო ჰუმანიტარიული ცენტრი""აფხაზეთი""",სოფ. ვარდისუბანი
144,"ფონდი საქველმოქმედო ჰუმანიტარიული ცენტრი""აფხაზეთი""",სოფ. ბაისუბანი
147,ბავშვი და გარემო,სოფ.ნორიო
148,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 3
149,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 3
150,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 10
151,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 11
152,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 12
153,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით. სახლი 2
155,საქველმოქმედო ფონდი საქართველოს კარიტასი,სოფ.მარტყოფი
156,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით.
157,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით.
158,სოციალური პარტნიორობა(ააიპ ჩერნოვეცკის ფონდი),მეუნარგიას  42
159,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,"ახალგაზრდობის გამზირი, მე-3 შეს. 5"
160,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახაგაზრდობის გამზირი მე-3 შესახვევი სამხერეთ-დასავლეთი 12
161,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)
162,დივაინ ჩაილდ ფოუნდეიშენ ოფ ჯორჯია,ბეჟანიშვილის შეს. 8
164,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახალგაზრდობის გამზ. მე-3 შეს. სამხრეთ-დასავლეთით.
166,ვორლდ ვიჟენ ინტერნაციონალი (World Vision International),ჩიქობავას ქ 29 
167,საქველმოქმედო ფონდი საქართველოს კარიტასი,"ფალიაშვილის ქუჩის მიმდებარე ტერიტორია, 
18 საჯარო სკოლის მიმდებარე ტერიტორია"
168,ვორლდ ვიჟენ ინტერნაციონალი (World Vision International),26 მაისის  43
176,"ააიპ,,სმენადი""", მცხეთის  2 შესახვევი.3. ბინა 1
178," ,,ახალი ხედვა"""," თბილისი, გლდანი 2 მ/რ, კორპ.29. ბინა 2"
181,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ჰერმან გმაინერის 1(ნუცუბიძის მე-IV მ/რ)სახლი 11
182,საქართველოს ეს-ო-ეს ბავშვთა სოფელი,ახაგაზრდობის გამზირი მე-3 შესახვევი სამხერეთ-დასავლეთი 12
183,"საზოგადოება ""ბილიკი""",კახა მეტრეველის 23
